10:39:25 AM  [main] 	Initializing Control Panel
10:39:25 AM  [main] 	Windows Version:  Home  64-bit
10:39:25 AM  [main] 	XAMPP Version: ???
10:39:25 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
10:39:25 AM  [main] 	You are not running with administrator rights! This will work for
10:39:25 AM  [main] 	most application stuff but whenever you do something with services
10:39:25 AM  [main] 	there will be a security dialogue or things will break! So think 
10:39:25 AM  [main] 	about running this application with administrator rights!
10:39:25 AM  [main] 	XAMPP Installation Directory: "c:\users\akida\desktop\"
10:39:25 AM  [main] 	Checking for prerequisites
10:39:25 AM  [main] 	All prerequisites found
10:39:25 AM  [main] 	Initializing Modules
10:39:25 AM  [Apache] 	Problem detected: Apache Not Found!
10:39:25 AM  [Apache] 	Disabling Apache buttons
10:39:25 AM  [Apache] 	Run this program from your XAMPP root directory!
10:39:25 AM  [mysql] 	Problem detected: MySQL Not Found!
10:39:25 AM  [mysql] 	Disabling MySQL buttons
10:39:25 AM  [mysql] 	Run this program from your XAMPP root directory!
10:39:25 AM  [filezilla] 	Problem detected: FileZilla Not Found!
10:39:25 AM  [filezilla] 	Disabling FileZilla buttons
10:39:25 AM  [filezilla] 	Run this program from your XAMPP root directory!
10:39:25 AM  [mercury] 	Problem detected: Mercury Not Found!
10:39:25 AM  [mercury] 	Disabling Mercury buttons
10:39:25 AM  [mercury] 	Run this program from your XAMPP root directory!
10:39:25 AM  [Tomcat] 	Problem detected: Tomcat Not Found!
10:39:25 AM  [Tomcat] 	Disabling Tomcat buttons
10:39:25 AM  [Tomcat] 	Run this program from your XAMPP root directory!
10:39:25 AM  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
10:39:25 AM  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
10:39:25 AM  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
10:39:25 AM  [main] 	Starting Check-Timer
10:39:25 AM  [main] 	Control Panel Ready
10:40:18 AM  [main] 	Deinitializing Modules
10:40:18 AM  [main] 	Deinitializing Control Panel

